Store Format,Store #,Store Name,Address,City,State,Zip,Phone #
Non-plus,720,Kingwood Market H-E-B,1679 Highway 100,Port Isabel,TX,77345-2621, (281) 361-0342
Central Market,545,Central Market Fort Worth,101 Calhoun Plaza,Port Lavaca,TX,76107-5489, (817) 989-4700
Non-plus,715,Deer Park H-E-B,1600 Wildcat Drive,Portland,TX,77536-5404, (281) 930-0326
Non-plus,474,Lake Colony H-E-B,405 W. Hildalgo,Raymondville,TX,77459-4180, (281) 403-2172
Non-plus,589,Mid County H-E-B,206 S. Alamo,Refugio,TX,77642-7403, (409) 722-1369
Non-plus,789,H-E-B Frisco Main St,10161 W Grand Parkway S,Richmond,TX,75033-0, (469) 473-4419
Non-plus,255,35 and Calton H-E-B,23500 Circle Oak Parkway,Richmond,TX,78041-5754, (956) 725-3061
Central Market,191,Broadway Central Market,9211 Fm 723 Rd,Richmond,TX,78209-5703, (210) 368-8600
Non-plus,736,Cross Creek Ranch H-E-B,4031 East Hwy 83,Rio Grande City,TX,77494-5426, (346) 387-7200
Non-plus,745,Meyerland Market H-E-B,308 E. Main,Robstown,TX,77096-4001, (713) 662-4000
Non-plus,553,Bear Creek H-E-B,1409 Hwy 35 North Business,Rockport,TX,77084-2718, (281) 859-9381
Non-plus,476,Tech Ridge H-E-B,16900 Ranch Road 620,Round Rock,TX,78753-1632, (512) 973-8143
Non-plus,88,Pecan and Greenwood H-E-B,1700 East Palm Valley Blvd,Round Rock,TX,78840-5824, (830) 774-2596
Non-plus,53,Groves H-E-B,250 University Blvd.,Round Rock,TX,77619-2725, (409) 962-0142
Plus,696,Gattis School H-E-B plus! Hutto,3750 Gattis School Rd,Round Rock,TX,78634-2025, (737) 484-0700
Convenience,729,Hutto H-E-B Convenience Store,3780 Gattis School Road,Round Rock,TX,78634-0, (512) 520-1200
Non-plus,738,Bellaire Market H-E-B,603 Louis Henna Blvd. Bldg A,Round Rock,TX,77401-4019, (713) 218-1600
Non-plus,677,Elsa H-E-B,3301 Sherwood Way,San Angelo,TX,78543-9800, (956) 262-1501
Non-plus,117,Crystal City H-E-B,5502 Sherwood Way,San Angelo,TX,78839-2936, (830) 374-2305
Non-plus,718,South Flores Market H-E-B,1015 S.w.w. White Road,San Antonio,TX,78204-1217, (210) 444-1879
Non-plus,599,Buffalo Market H-E-B On Buffalo Speedway,10660 West Fm 471,San Antonio,TX,77005-4210, (713) 218-1800
Non-plus,748,H-E-B Market at Gosling,10718 Potranco Road,San Antonio,TX,77388-0, (281) 323-6400
Non-plus,627,Sugar Land Market H-E-B,108 N Rosillo,San Antonio,TX,77478-4947, (281) 494-3690
Plus,69,Staples and Saratoga H-E-B plus!,1150 Nw Loop 1604,San Antonio,TX,78413-2816, (361) 980-0993
Plus,14,Kyle H-E-B plus!,11551 West Ave.,San Antonio,TX,78640-6038, (512) 268-7900
Non-plus,717,Midland Loop 250 H-E-B,11652 Bandera Rd,San Antonio,TX,79706-2851, (432) 699-8201
Non-plus,270,Moore Plaza H-E-B,12018 Perrin Beitel Road,San Antonio,TX,78411-5301, (361) 991-2695
Non-plus,734,Sherwood & FM 2288 H-E-B,12125 Alamo Ranch Pkwy,San Antonio,TX,76901-0, (325) 223-3101
Non-plus,262,Marketplace H-E-B,12777 Ih 10 West,San Antonio,TX,78238-1986, (210) 647-2700
Joe V's Smart Shop,640,Uvalde Smart Shop,14087 O'connor Rd,San Antonio,TX,77049-4523, (281) 454-6947
Non-plus,796,H-E-B Allen,14325 Potranco Rd.,San Antonio,TX,75002-0, (469) 656-9401
Central Market,552,Central Market Lovers Lane,15000 San Pedro,San Antonio,TX,75206-2921, (214) 234-7000
Non-plus,68,Slaughter and Escarpment H-E-B,1520 Austin Hwy,San Antonio,TX,78749-6507, (512) 301-9770
Non-plus,139,Weber and Holly H-E-B,1601 Nogalitos,San Antonio,TX,78413-3966, (361) 854-1911
Non-plus,202,Burnet Rd H-E-B,17238 Bulverde Road,San Antonio,TX,78756-1100, (512) 453-8864
Non-plus,687,San Felipe H-E-B,17439 Classen Rd.,San Antonio,TX,77057-3061, (713) 278-8450
Non-plus,618,Babcock H-E-B,18140 San Pedro,San Antonio,TX,78240-2136, (210) 641-6403
Non-plus,611,Dripping Springs H-E-B,1955 Nacogdoches,San Antonio,TX,78620-5482, (512) 858-2972
Non-plus,679,Cleburne H-E-B,20935 Us Highway 281 North,San Antonio,TX,76033-4830, (817) 641-6203
Non-plus,389,West Ave and Jackson Keller H-E-B,2118 Fredericksburg Rd,San Antonio,TX,78213-2714, (210) 341-7289
Non-plus,790,H-E-B Plano,2130 Culebra,San Antonio,TX,75093-0, (469) 395-0660
Non-plus,388,Parmer and McNeil H-E-B,23635 Wilderness Oak,San Antonio,TX,78727-3901, (512) 249-0400
Non-plus,160,Mathis H-E-B,"24165 I-h 10 West, Suite 300",San Antonio,TX,78368-2428, (361) 547-3233
Non-plus,381,Harker Heights H-E-B,2929 Thousand Oaks,San Antonio,TX,76548-1347, (254) 699-8411
Non-plus,448,Palmview H-E-B,300 Olmos Drive,San Antonio,TX,78572-9139, (956) 585-3161
Non-plus,495,Louis Henna Blvd H-E-B,3323 Se Military Dr.,San Antonio,TX,78664-7186, (512) 828-0806
Non-plus,384,Montgomery at Walzem,"3485 Fredericksburg Rd,suite 4",San Antonio,TX,78239-3233, (210) 657-2944
Non-plus,756,MacGregor Market H-E-B,368 Valley Hi Drive,San Antonio,TX,77004-0, (713) 285-2600
Non-plus,424,Hondo H-E-B,4100 South New Braunfels,San Antonio,TX,78861-2504, (830) 426-4349
Joe V's Smart Shop,559,Fuqua Smart Shop,415 N. New Braunfels,San Antonio,TX,77085-0, (713) 413-9300
Plus,92,Victoria H-E-B plus!,4821 Broadway,San Antonio,TX,77904-1767, (361) 578-9891
Joe V's Smart Shop,649,Victory Smart Shop,516 S Flores Street,San Antonio,TX,77088-6388, (281) 847-0996
Non-plus,291,83 and Lincoln H-E-B,5601 Bandera Road,San Antonio,TX,78550-5905, (956) 425-7491
Non-plus,473,Fairmont Pkwy H-E-B,5910 Babcock Rd,San Antonio,TX,77505-4027, (281) 487-1946
Non-plus,243,East Hopkins H-E-B,6000 West Avenue,San Antonio,TX,78666-7055, (512) 396-8880
Non-plus,742,Baytown H-E-B,6030 Montgomery Road,San Antonio,TX,77521-9638, (281) 421-5300
Plus,592,Leander H-E-B plus!,6580 F.m. 78,San Antonio,TX,78641-7001, (512) 528-7700
Non-plus,775,New Braunfels H-E-B at Walnut,6818 South Zarzamora,San Antonio,TX,78130-5722, (830) 608-0017
Non-plus,294,Foster Rd H-E-B,6839 San Pedro,San Antonio,TX,78244-1300, (210) 666-2022
Non-plus,229,I 35 and William Cannon H-E-B,7004 S.zarzamora,San Antonio,TX,78744-3410, (512) 441-9266
Plus,596,Grand Parkway H-E-B plus!,721 Castroville Rd,San Antonio,TX,77494-8100, (281) 392-9500
Plus,84,Zarzamora and Military H-E-B plus!,735 Sw Military,San Antonio,TX,78224-1136, (210) 927-5334
Non-plus,178,San Pedro and Oblate H-E-B,7951 Guilbeau Rd.,San Antonio,TX,78216-7202, (210) 342-2745
Non-plus,428,Brodie Lane H-E-B,8219 Marbach,San Antonio,TX,78745-5008, (512) 891-8900
Non-plus,200,Falfurrias H-E-B,8300 Floyd Curl Dr.ste 105,San Antonio,TX,78355-4365, (361) 325-3604
Convenience,111,Military at Zarzamora H-E-B Convenience Store,8503 Nw Military Hwy,San Antonio,TX,78224-1118, (210) 932-9275
Non-plus,29,Westlake H-E-B,9238 N.loop 1604 West,San Antonio,TX,78746-5256, (512) 732-9930
Non-plus,467,Mexia H-E-B,9255 Grissom Rd,San Antonio,TX,76667-2445, (254) 562-5305
Non-plus,558,Friendswood H-E-B,9900 Wurzbach,San Antonio,TX,77546-5405, (281) 996-9967
Non-plus,96,Far West H-E-B,999 East Basse Road,San Antonio,TX,78731-3023, (512) 502-8445
Non-plus,432,Lampasas H-E-B,Sw Military Drive,San Antonio,TX,76550-3114, (512) 556-3461
Non-plus,161,Ed Bluestein H-E-B,1095 West Business 77,San Benito,TX,78723-2924, (512) 926-1491
Non-plus,205,Las Palmas H-E-B,901 West Expressway 83,San Juan,TX,78237-3134, (210) 432-0949
Non-plus,544,Tejas Center H-E-B,200 West Hopkins St.,San Marcos,TX,77802-5320, (979) 779-8905
Non-plus,451,Four Points H-E-B,641 East Hopkins Street,San Marcos,TX,78726-4539, (512) 336-7700
Non-plus,576,Louetta and Stuebner H-E-B,4206 Avenue T,Santa Fe,TX,77379-7234, (281) 374-7727
Non-plus,427,Military and Pleasanton H-E-B,17460 I.h. 35 North,Schertz,TX,78221-1642, (210) 927-6825
Non-plus,498,Atascocita H-E-B,1340 E Court St,Seguin,TX,77346-3128, (281) 812-4357
Joe V's Smart Shop,667,Bellfort Smart Shop,106 S. San Patricio,Sinton,TX,77071-2104, (713) 721-0100
Non-plus,449,McPherson Rd H-E-B,1630 Spencer Hwy,South Houston,TX,78045-2802, (956) 712-2459
Non-plus,765,Oak Hill H-E-B,1425 E. Southlake,Southlake,TX,78736-8300, (512) 288-5440
Non-plus,224,Bandera and Guilbeau H-E-B,130 Sawdust Road,Spring,TX,78250-3232, (210) 523-0296
Non-plus,722,Magnolia Market H-E-B,20311 Champion Forest Drive,Spring,TX,77354-1611, (832) 934-3400
Non-plus,426,Waxahachie H-E-B,2121 Fm 2920,Spring,TX,75165-1884, (972) 923-2283
Non-plus,654,CM ECOMMERCE,3540 Rayford Rd,Spring,TX,78552-0, (999) 999-9999
Plus,557,35 and 84 H-E-B plus!,5251 Fm 2920,Spring,TX,76705-2874, (254) 799-0253
Non-plus,9,Donna H-E-B,7310 Louetta,Spring,TX,78537-3148, (956) 464-3471
Non-plus,116,Lumberton H-E-B,20725 Hwy 46 West,Spring Branch,TX,77657-7358, (409) 755-2501
Non-plus,226,Conway and 9th St H-E-B,2150 W. Washington,Stephenville,TX,78572-5362, (956) 581-2154
Plus,613,Marbach and 410 H-E-B plus!,19900 Southwest Fwy,Sugar Land,TX,78227-1652, (210) 673-4900
Non-plus,647,H-E-B Compounding Pharmacy at the MARC,530 Hwy 6,Sugar Land,TX,78229-3931, (210) 593-0291
Non-plus,785,H-E-B Cibolo,100 N.w.carlos G.parker Bl#101,Taylor,TX,78108-9999, (210) 507-2501
Non-plus,102,Alon Market H-E-B,1314 West Adams,Temple,TX,78231-1841, (210) 479-4300
Non-plus,794,H-E-B McKinney,3002 S 31 St,Temple,TX,75070-9999, (469) 631-7483
Non-plus,710,Slaughter and South Congress H-E-B,3502 Palmer Highway,Texas City,TX,78745-0, (737) 236-8348
Non-plus,110,Sienna Market H-E-B,10777 Kuykendahl Road,The Woodlands,TX,77459-6931, (281) 778-1300
Non-plus,802,H-E-B Hwy 380 & FM 423,3601 Fm 1488,The Woodlands,TX,75033-9999, (999) 999-9999
Non-plus,590,10th and Trenton H-E-B,9595 Six Pines Rd,The Woodlands,TX,78504-7705, (956) 618-0073
Plus,38,San Juan H-E-B plus!,26500 Kuykendahl Rd,Tomball,TX,78589-3734, (956) 781-0554
Convenience,79,Floresville H-E-B Convenience Store,28520 Tomball Parkway,Tomball,TX,78114-1851, (830) 393-8908
Non-plus,712,Cuero H-E-B,910 Kitty Hawk Road,Universal City,TX,77954-2126, (361) 275-6144
Non-plus,555,Kitty Hawk H-E-B,201 East Main,Uvalde,TX,78148-3806, (210) 945-2102
Plus,583,Woodway H-E-B plus!,1505 East Rio Grande,Victoria,TX,76712-3371, (254) 751-0239
Non-plus,749,Spring Green Market H-E-B,6106 N. Navarro,Victoria,TX,77406-0, (346) 239-3500
Plus,623,Bandera and 1604 H-E-B plus!,1301 Wooded Acres,Waco,TX,78249-2577, (210) 682-0165
Non-plus,25,Floresville H-E-B,1821 South Valley Mills Dr.,Waco,TX,78114-1851, (830) 393-8105
Non-plus,235,Grissom and Tezel H-E-B,3801 N 19th St.,Waco,TX,78251-2805, (210) 681-5071
Non-plus,183,Lamar and Rundberg H-E-B,800 Hwy 77,Waxahachie,TX,78753-4106, (512) 835-5400
Non-plus,619,Tower Point Market H-E-B,18611 Eastfield Dr,Webster,TX,77845-4638, (979) 690-4940
Non-plus,657,Jones and West H-E-B,1004 N. Texas,Weslaco,TX,77065-4814, (281) 894-5361
Non-plus,579,Woodlands Market H-E-B,310 N. Westgate Drive,Weslaco,TX,77380-1531, (281) 292-2080
Non-plus,707,Lake Jackson H-E-B,110 W Brazos St,West Columbia,TX,77566-4622, (979) 297-1288
Non-plus,109,Bunker Hill H-E-B,701 Capital Of Texas Hwy-bld C,West Lake Hills,TX,77055-6209, (713) 647-5900
Non-plus,709,H-E-B Market at Tuckerton,1616 N Alabama,Wharton,TX,77433-4847, (281) 205-6200
Non-plus,54,Blackhawk H-E-B,"12350 Interstate 45 N,",Willis,TX,77075-2246, (713) 991-2774
Non-plus,480,I10 and Wurzbach H-E-B,14501 Rr12,Wimberley,TX,78230-2212, (210) 696-0794
Non-plus,567,Lincoln Heights Market H-E-B,9100 Woodway Drive,Woodway,TX,78209-1804, (210) 822-0156
Convenience,121,Military at Pleasanton H-E-B Convenience Store,201 W. Gonzales,Yoakum,TX,78221-1642, (210) 927-3265
